num_voters,num_alternatives,has_winner
2,2,49.13%
3,2,100.0%
4,2,62.82%
5,2,100.0%
6,2,68.61%
7,2,100.0%
8,2,72.42%
9,2,100.0%
10,2,75.37%
11,2,100.0%
12,2,78.78%
13,2,100.0%
14,2,79.23%
15,2,100.0%
16,2,80.21%
17,2,100.0%
18,2,81.8%
19,2,100.0%
20,2,82.73%
21,2,100.0%
22,2,83.32%
23,2,100.0%
24,2,83.64%
25,2,100.0%
26,2,84.36%
27,2,100.0%
28,2,85.64%
29,2,100.0%
30,2,86.21%
31,2,100.0%
32,2,86.11%
33,2,100.0%
34,2,86.44%
35,2,100.0%
36,2,86.98%
37,2,100.0%
38,2,87.76%
39,2,100.0%
40,2,86.91%
41,2,100.0%
42,2,87.85%
43,2,100.0%
44,2,88.14%
45,2,100.0%
46,2,88.33%
47,2,100.0%
48,2,88.16%
49,2,100.0%
50,2,88.82%
51,2,100.0%
52,2,88.91%
53,2,100.0%
54,2,89.79%
55,2,100.0%
56,2,89.35%
57,2,100.0%
58,2,89.28%
59,2,100.0%
60,2,89.75%
61,2,100.0%
62,2,89.59%
63,2,100.0%
64,2,90.1%
65,2,100.0%
66,2,90.11%
67,2,100.0%
68,2,90.49%
69,2,100.0%
70,2,90.89%
71,2,100.0%
72,2,90.6%
73,2,100.0%
74,2,90.56%
75,2,100.0%
76,2,90.99%
77,2,100.0%
78,2,91.38%
79,2,100.0%
80,2,90.91%
81,2,100.0%
82,2,90.98%
83,2,100.0%
84,2,91.22%
85,2,100.0%
86,2,91.68%
87,2,100.0%
88,2,91.6%
89,2,100.0%
90,2,92.48%
91,2,100.0%
92,2,91.92%
93,2,100.0%
94,2,91.95%
95,2,100.0%
96,2,91.91%
97,2,100.0%
98,2,92.2%
99,2,100.0%
100,2,92.03%
2,3,59.02%
3,3,63.34%
4,3,67.89%
5,3,71.09%
6,3,72.85%
7,3,74.45%
8,3,76.11%
9,3,77.7%
10,3,78.36%
11,3,79.65%
12,3,80.03%
13,3,80.07%
14,3,82.28%
15,3,82.76%
16,3,82.83%
17,3,83.42%
18,3,83.49%
19,3,84.45%
20,3,84.31%
21,3,84.47%
22,3,85.23%
23,3,85.47%
24,3,86.3%
25,3,85.76%
26,3,86.33%
27,3,86.35%
28,3,86.7%
29,3,86.72%
30,3,87.72%
31,3,87.04%
32,3,87.39%
33,3,87.35%
34,3,88.25%
35,3,88.36%
36,3,88.14%
37,3,87.98%
38,3,88.6%
39,3,88.66%
40,3,88.78%
41,3,89.12%
42,3,89.92%
43,3,89.63%
44,3,89.58%
45,3,89.81%
46,3,89.93%
47,3,90.02%
48,3,90.15%
49,3,90.16%
50,3,89.58%
51,3,89.97%
52,3,90.14%
53,3,90.36%
54,3,90.12%
55,3,90.31%
56,3,90.15%
57,3,90.25%
58,3,89.66%
59,3,90.8%
60,3,90.88%
61,3,90.83%
62,3,90.49%
63,3,91.39%
64,3,90.98%
65,3,91.01%
66,3,91.11%
67,3,91.41%
68,3,91.21%
69,3,91.23%
70,3,90.92%
71,3,91.55%
72,3,91.3%
73,3,91.23%
74,3,91.65%
75,3,91.45%
76,3,91.4%
77,3,91.41%
78,3,91.7%
79,3,91.97%
80,3,91.71%
81,3,91.89%
82,3,91.57%
83,3,91.91%
84,3,92.34%
85,3,92.22%
86,3,92.36%
87,3,92.51%
88,3,92.27%
89,3,92.06%
90,3,92.53%
91,3,92.73%
92,3,92.42%
93,3,92.43%
94,3,92.37%
95,3,92.39%
96,3,92.18%
97,3,92.86%
98,3,93.4%
99,3,92.78%
100,3,92.81%
2,4,49.88%
3,4,54.56%
4,4,60.26%
5,4,62.53%
