num_voters,num_alternatives,has_winner
2,2,50.16%
3,2,100.0%
4,2,61.14%
5,2,100.0%
6,2,69.49%
7,2,100.0%
8,2,72.88%
9,2,100.0%
10,2,76.02%
11,2,100.0%
12,2,77.1%
13,2,100.0%
14,2,79.46%
15,2,100.0%
16,2,80.65%
17,2,100.0%
18,2,81.34%
19,2,100.0%
20,2,82.4%
21,2,100.0%
22,2,82.38%
23,2,100.0%
24,2,82.97%
25,2,100.0%
26,2,83.78%
27,2,100.0%
28,2,84.67%
29,2,100.0%
30,2,85.84%
31,2,100.0%
32,2,86.62%
33,2,100.0%
34,2,86.15%
35,2,100.0%
36,2,86.95%
37,2,100.0%
38,2,86.97%
39,2,100.0%
40,2,87.96%
41,2,100.0%
42,2,87.68%
43,2,100.0%
44,2,88.01%
45,2,100.0%
46,2,88.48%
47,2,100.0%
48,2,88.63%
49,2,100.0%
50,2,88.56%
51,2,100.0%
52,2,89.55%
53,2,100.0%
54,2,89.42%
55,2,100.0%
56,2,89.74%
57,2,100.0%
58,2,89.75%
59,2,100.0%
60,2,89.65%
61,2,100.0%
62,2,89.89%
63,2,100.0%
64,2,90.55%
65,2,100.0%
66,2,89.97%
67,2,100.0%
68,2,90.23%
69,2,100.0%
70,2,90.98%
71,2,100.0%
72,2,90.15%
73,2,100.0%
74,2,90.67%
75,2,100.0%
76,2,90.43%
77,2,100.0%
78,2,91.05%
79,2,100.0%
80,2,90.76%
81,2,100.0%
82,2,91.07%
83,2,100.0%
84,2,90.69%
85,2,100.0%
86,2,91.23%
87,2,100.0%
88,2,91.4%
89,2,100.0%
90,2,91.74%
91,2,100.0%
92,2,91.85%
93,2,100.0%
94,2,91.36%
95,2,100.0%
96,2,91.72%
97,2,100.0%
98,2,92.21%
99,2,100.0%
100,2,91.73%
2,3,66.5%
3,3,86.1%
4,3,81.13%
5,3,85.65%
6,3,84.8%
7,3,86.86%
8,3,87.06%
9,3,88.06%
10,3,87.86%
11,3,88.76%
12,3,89.11%
13,3,89.18%
14,3,90.06%
15,3,89.78%
16,3,90.55%
17,3,90.64%
18,3,90.51%
19,3,91.27%
20,3,91.58%
21,3,91.66%
22,3,91.49%
23,3,91.94%
24,3,91.84%
25,3,91.77%
26,3,91.87%
27,3,92.38%
28,3,92.45%
29,3,92.91%
30,3,92.81%
31,3,93.27%
32,3,93.13%
33,3,93.2%
34,3,93.34%
35,3,93.36%
36,3,93.02%
37,3,93.82%
38,3,93.47%
39,3,93.17%
40,3,93.79%
41,3,93.39%
42,3,93.78%
43,3,94.12%
44,3,94.03%
45,3,94.18%
46,3,94.23%
47,3,94.25%
48,3,93.96%
49,3,94.29%
50,3,94.31%
51,3,94.12%
52,3,93.93%
53,3,94.52%
54,3,94.3%
55,3,94.83%
56,3,94.38%
57,3,94.25%
58,3,94.86%
59,3,95.0%
60,3,95.15%
61,3,94.68%
62,3,94.62%
63,3,94.92%
64,3,95.3%
65,3,95.08%
66,3,94.84%
67,3,95.33%
68,3,95.04%
69,3,95.35%
70,3,95.0%
71,3,95.22%
72,3,95.28%
73,3,95.4%
74,3,95.21%
75,3,95.49%
76,3,95.65%
77,3,95.38%
78,3,95.67%
79,3,95.2%
80,3,95.28%
81,3,95.62%
82,3,95.29%
83,3,95.46%
84,3,95.67%
85,3,95.82%
86,3,95.41%
87,3,95.53%
88,3,95.52%
89,3,95.27%
90,3,95.55%
91,3,95.73%
92,3,95.68%
93,3,96.13%
94,3,95.98%
95,3,96.06%
96,3,95.83%
97,3,95.65%
98,3,95.92%
99,3,95.6%
100,3,95.79%
2,4,71.75%
3,4,81.68%
4,4,82.26%
5,4,83.47%
6,4,84.51%
7,4,86.29%
8,4,86.9%
9,4,87.06%
10,4,88.09%
11,4,88.71%
12,4,89.03%
13,4,89.72%
14,4,90.08%
15,4,90.21%
16,4,90.85%
17,4,90.07%
18,4,90.97%
19,4,91.42%
20,4,91.28%
21,4,91.52%
22,4,91.29%
23,4,91.74%
24,4,91.95%
25,4,92.4%
26,4,92.49%
27,4,92.13%
28,4,92.6%
29,4,92.74%
30,4,92.76%
31,4,92.98%
32,4,92.91%
33,4,93.26%
34,4,93.15%
35,4,93.72%
36,4,93.65%
37,4,93.66%
38,4,94.09%
39,4,93.65%
40,4,93.49%
41,4,94.06%
42,4,94.04%
43,4,94.59%
44,4,94.01%
45,4,94.18%
46,4,94.03%
47,4,94.66%
48,4,93.99%
49,4,94.48%
50,4,94.22%
51,4,94.54%
52,4,94.9%
53,4,94.19%
54,4,94.84%
55,4,94.69%
56,4,95.29%
57,4,94.99%
58,4,94.74%
59,4,94.89%
60,4,95.06%
61,4,94.86%
62,4,94.92%
63,4,95.49%
64,4,95.34%
65,4,95.64%
66,4,95.12%
67,4,95.25%
68,4,95.59%
69,4,95.57%
70,4,95.76%
71,4,95.53%
72,4,95.14%
73,4,95.17%
74,4,95.56%
75,4,95.67%
76,4,95.87%
77,4,95.63%
78,4,95.63%
79,4,95.48%
80,4,95.92%
81,4,95.55%
82,4,95.7%
83,4,95.62%
84,4,95.64%
85,4,95.17%
86,4,95.39%
87,4,95.7%
88,4,95.57%
89,4,95.99%
90,4,95.74%
91,4,95.9%
92,4,96.12%
93,4,95.82%
94,4,96.14%
95,4,96.15%
96,4,96.48%
97,4,95.91%
98,4,96.13%
99,4,95.69%
100,4,96.17%
2,5,72.8%
3,5,82.54%
4,5,83.41%
5,5,84.83%
6,5,85.8%
7,5,87.49%
8,5,88.37%
9,5,88.96%
10,5,88.69%
11,5,89.65%
12,5,90.37%
13,5,89.99%
14,5,90.39%
15,5,91.01%
16,5,91.18%
17,5,91.57%
18,5,91.37%
19,5,91.92%
20,5,91.71%
21,5,92.09%
22,5,92.73%
23,5,92.8%
24,5,92.67%
25,5,92.88%
26,5,92.84%
27,5,93.22%
28,5,93.8%
29,5,93.75%
30,5,93.39%
31,5,93.9%
32,5,93.63%
33,5,94.07%
34,5,93.77%
35,5,93.94%
36,5,93.86%
37,5,94.14%
38,5,94.21%
39,5,94.55%
40,5,94.01%
41,5,94.17%
42,5,94.6%
43,5,94.31%
44,5,94.69%
45,5,94.89%
46,5,94.33%
47,5,94.89%
48,5,94.46%
49,5,94.22%
50,5,95.03%
51,5,95.29%
52,5,94.98%
53,5,95.12%
54,5,95.3%
55,5,95.15%
56,5,95.03%
57,5,95.55%
58,5,95.31%
59,5,94.8%
60,5,95.19%
61,5,95.83%
62,5,95.46%
63,5,95.36%
64,5,95.67%
65,5,95.51%
66,5,95.62%
67,5,95.18%
68,5,95.72%
69,5,95.78%
70,5,95.73%
71,5,95.73%
72,5,96.0%
73,5,96.35%
74,5,95.59%
75,5,95.93%
76,5,96.02%
77,5,95.92%
78,5,95.68%
79,5,96.03%
80,5,95.76%
81,5,95.93%
82,5,95.64%
83,5,96.14%
84,5,96.22%
85,5,96.5%
86,5,96.29%
87,5,96.36%
88,5,95.86%
89,5,96.1%
90,5,96.11%
91,5,96.17%
92,5,95.88%
93,5,96.18%
94,5,96.43%
95,5,96.3%
96,5,96.6%
97,5,96.18%
98,5,96.32%
99,5,96.36%
100,5,96.6%
2,6,75.12%
3,6,83.23%
4,6,84.34%
5,6,86.08%
6,6,86.69%
7,6,88.2%
8,6,88.58%
9,6,89.65%
10,6,89.9%
11,6,90.4%
12,6,91.09%
13,6,91.25%
14,6,91.95%
15,6,91.65%
16,6,91.74%
17,6,91.97%
18,6,91.96%
19,6,92.19%
20,6,92.92%
21,6,92.44%
22,6,92.8%
23,6,93.04%
24,6,93.28%
25,6,93.82%
26,6,93.74%
27,6,93.67%
28,6,94.19%
29,6,94.12%
30,6,94.37%
31,6,94.07%
32,6,94.11%
33,6,94.41%
34,6,94.18%
35,6,94.61%
36,6,94.59%
37,6,94.25%
38,6,94.76%
39,6,94.56%
40,6,94.88%
41,6,94.88%
42,6,95.14%
43,6,95.2%
44,6,95.19%
45,6,94.66%
46,6,95.0%
47,6,95.3%
48,6,95.17%
49,6,95.18%
50,6,95.63%
51,6,95.54%
52,6,95.86%
53,6,95.65%
