num_voters,num_alternatives,0_winners,1_winners,2_winners,3_winners,4_winners,5_winners,6_winners,7_winners,8_winners,9_winners,10_winners,has_winner
2,2,0,50.036%,49.964%,0,0,0,0,0,0,0,0,100%
3,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
4,2,0,62.419%,37.581%,0,0,0,0,0,0,0,0,100%
5,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
6,2,0,68.686%,31.314%,0,0,0,0,0,0,0,0,100%
7,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
8,2,0,72.693%,27.307%,0,0,0,0,0,0,0,0,100%
9,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
10,2,0,75.43%,24.57%,0,0,0,0,0,0,0,0,100%
11,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
12,2,0,77.507%,22.493%,0,0,0,0,0,0,0,0,100%
13,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
14,2,0,79.01%,20.99%,0,0,0,0,0,0,0,0,100%
15,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
16,2,0,80.506%,19.494%,0,0,0,0,0,0,0,0,100%
17,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
18,2,0,81.624%,18.376%,0,0,0,0,0,0,0,0,100%
19,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
20,2,0,82.594%,17.406%,0,0,0,0,0,0,0,0,100%
21,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
22,2,0,83.271%,16.729%,0,0,0,0,0,0,0,0,100%
23,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
24,2,0,83.913%,16.087%,0,0,0,0,0,0,0,0,100%
25,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
26,2,0,84.469%,15.531%,0,0,0,0,0,0,0,0,100%
27,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
28,2,0,85.159%,14.841%,0,0,0,0,0,0,0,0,100%
29,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
30,2,0,85.361%,14.639%,0,0,0,0,0,0,0,0,100%
31,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
32,2,0,86.066%,13.934%,0,0,0,0,0,0,0,0,100%
33,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
34,2,0,86.454%,13.546%,0,0,0,0,0,0,0,0,100%
35,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
36,2,0,86.797%,13.203%,0,0,0,0,0,0,0,0,100%
37,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
38,2,0,87.107%,12.893%,0,0,0,0,0,0,0,0,100%
39,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
40,2,0,87.28%,12.72%,0,0,0,0,0,0,0,0,100%
41,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
42,2,0,87.75%,12.25%,0,0,0,0,0,0,0,0,100%
43,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
44,2,0,88.1%,11.9%,0,0,0,0,0,0,0,0,100%
45,2,0,100.0%,0,0,0,0,0,0,0,0,0,100%
46,2,0,88.192%,11.808%,0,0,0,0,0,0,0,0,100%
