num_voters,num_alternatives,has_winner
2,2,50.49%
3,2,100.0%
4,2,62.04%
5,2,100.0%
6,2,68.1%
7,2,100.0%
8,2,73.11%
9,2,100.0%
10,2,75.05%
11,2,100.0%
12,2,77.81%
13,2,100.0%
14,2,78.57%
15,2,100.0%
16,2,80.98%
17,2,100.0%
18,2,82.06%
19,2,100.0%
20,2,81.92%
21,2,100.0%
22,2,82.67%
23,2,100.0%
24,2,83.6%
25,2,100.0%
26,2,85.05%
27,2,100.0%
28,2,84.91%
29,2,100.0%
30,2,85.69%
31,2,100.0%
32,2,86.1%
33,2,100.0%
34,2,85.99%
35,2,100.0%
36,2,86.27%
37,2,100.0%
38,2,87.12%
39,2,100.0%
40,2,87.66%
41,2,100.0%
42,2,87.38%
43,2,100.0%
44,2,88.89%
45,2,100.0%
46,2,88.62%
47,2,100.0%
48,2,88.68%
49,2,100.0%
50,2,88.54%
51,2,100.0%
52,2,88.81%
53,2,100.0%
54,2,88.92%
55,2,100.0%
56,2,88.72%
57,2,100.0%
58,2,89.37%
59,2,100.0%
60,2,89.51%
61,2,100.0%
62,2,90.1%
63,2,100.0%
64,2,90.12%
65,2,100.0%
66,2,90.12%
67,2,100.0%
68,2,89.87%
69,2,100.0%
70,2,90.78%
71,2,100.0%
72,2,90.59%
73,2,100.0%
74,2,90.41%
75,2,100.0%
76,2,90.83%
77,2,100.0%
78,2,90.94%
79,2,100.0%
80,2,91.25%
81,2,100.0%
82,2,90.63%
83,2,100.0%
84,2,91.24%
85,2,100.0%
86,2,91.57%
87,2,100.0%
88,2,91.51%
89,2,100.0%
90,2,91.59%
91,2,100.0%
92,2,91.69%
93,2,100.0%
94,2,91.74%
95,2,100.0%
96,2,91.73%
97,2,100.0%
98,2,91.92%
99,2,100.0%
100,2,92.44%
2,3,83.13%
3,3,60.08%
4,3,77.36%
5,3,96.89%
6,3,82.15%
7,3,92.03%
8,3,90.17%
9,3,80.46%
10,3,89.56%
11,3,95.86%
12,3,87.88%
13,3,93.31%
14,3,91.86%
15,3,85.36%
16,3,92.3%
17,3,95.71%
18,3,90.56%
19,3,94.31%
20,3,93.26%
21,3,88.91%
22,3,93.76%
23,3,95.66%
24,3,91.76%
25,3,94.78%
26,3,94.21%
27,3,91.14%
28,3,94.74%
29,3,96.01%
30,3,93.0%
31,3,95.04%
32,3,94.81%
33,3,92.47%
34,3,95.02%
35,3,96.21%
36,3,93.7%
37,3,95.42%
38,3,95.26%
39,3,93.52%
40,3,95.74%
41,3,96.38%
42,3,94.05%
43,3,95.85%
44,3,95.87%
45,3,93.53%
46,3,96.0%
47,3,96.45%
48,3,94.23%
49,3,95.93%
50,3,95.79%
51,3,94.0%
52,3,96.38%
53,3,96.54%
54,3,95.01%
55,3,96.06%
56,3,95.95%
57,3,94.75%
58,3,96.33%
59,3,96.51%
60,3,95.35%
61,3,96.36%
62,3,96.25%
63,3,94.98%
64,3,96.21%
65,3,97.04%
66,3,95.61%
67,3,96.13%
68,3,96.36%
69,3,95.06%
70,3,96.6%
71,3,97.0%
72,3,95.35%
73,3,96.39%
74,3,96.59%
75,3,95.28%
76,3,96.46%
77,3,96.82%
78,3,95.98%
79,3,96.92%
80,3,96.42%
81,3,95.74%
82,3,96.76%
83,3,96.81%
84,3,95.86%
85,3,97.19%
86,3,97.11%
87,3,95.75%
88,3,97.05%
89,3,97.7%
90,3,96.21%
91,3,97.02%
92,3,97.14%
93,3,96.2%
94,3,97.11%
95,3,97.26%
96,3,96.22%
97,3,96.89%
98,3,96.72%
99,3,96.21%
100,3,97.16%
2,4,58.83%
3,4,90.98%
4,4,74.81%
5,4,86.32%
6,4,81.93%
7,4,93.03%
8,4,84.12%
9,4,86.24%
10,4,88.02%
11,4,90.19%
12,4,88.41%
13,4,89.71%
14,4,90.63%
15,4,92.06%
16,4,89.32%
17,4,91.88%
18,4,91.24%
19,4,93.59%
20,4,91.01%
21,4,92.03%
22,4,93.07%
23,4,93.61%
24,4,92.73%
25,4,93.13%
26,4,93.3%
27,4,93.75%
28,4,92.99%
29,4,94.44%
30,4,93.95%
31,4,94.92%
32,4,93.54%
33,4,94.41%
34,4,94.72%
35,4,94.47%
36,4,94.09%
37,4,94.52%
38,4,94.77%
39,4,94.95%
40,4,94.28%
41,4,94.94%
42,4,94.82%
43,4,95.31%
44,4,94.78%
45,4,94.75%
46,4,95.4%
47,4,95.57%
48,4,94.74%
49,4,95.59%
50,4,95.4%
51,4,95.41%
52,4,95.34%
53,4,95.41%
54,4,95.69%
