num_voters,num_alternatives,has_winner
2,2,50.74%
3,2,100.0%
4,2,62.04%
5,2,100.0%
6,2,68.89%
7,2,100.0%
8,2,72.92%
9,2,100.0%
10,2,75.24%
11,2,100.0%
12,2,76.87%
13,2,100.0%
14,2,79.09%
15,2,100.0%
16,2,79.95%
17,2,100.0%
18,2,81.17%
19,2,100.0%
20,2,82.89%
21,2,100.0%
22,2,83.01%
23,2,100.0%
24,2,83.58%
25,2,100.0%
26,2,84.68%
27,2,100.0%
28,2,85.23%
29,2,100.0%
30,2,85.28%
31,2,100.0%
32,2,85.84%
33,2,100.0%
34,2,86.02%
35,2,100.0%
36,2,86.53%
37,2,100.0%
38,2,87.11%
39,2,100.0%
40,2,86.91%
41,2,100.0%
42,2,87.52%
43,2,100.0%
44,2,88.01%
45,2,100.0%
46,2,88.63%
47,2,100.0%
48,2,87.99%
49,2,100.0%
50,2,88.7%
51,2,100.0%
52,2,89.46%
53,2,100.0%
54,2,89.32%
55,2,100.0%
56,2,89.4%
57,2,100.0%
58,2,89.73%
59,2,100.0%
60,2,89.84%
61,2,100.0%
62,2,89.52%
63,2,100.0%
64,2,90.25%
65,2,100.0%
66,2,90.37%
67,2,100.0%
68,2,90.64%
69,2,100.0%
70,2,90.82%
71,2,100.0%
72,2,90.43%
73,2,100.0%
74,2,90.4%
75,2,100.0%
76,2,90.5%
77,2,100.0%
78,2,91.17%
79,2,100.0%
80,2,90.5%
81,2,100.0%
82,2,90.85%
83,2,100.0%
84,2,90.98%
85,2,100.0%
86,2,91.64%
87,2,100.0%
88,2,91.65%
89,2,100.0%
90,2,91.46%
91,2,100.0%
92,2,91.9%
93,2,100.0%
94,2,91.69%
95,2,100.0%
96,2,91.82%
97,2,100.0%
98,2,92.23%
99,2,100.0%
100,2,91.98%
2,3,33.29%
3,3,77.45%
4,3,78.52%
5,3,100.0%
6,3,79.16%
7,3,100.0%
8,3,83.75%
9,3,81.81%
10,3,90.6%
11,3,94.83%
12,3,88.27%
13,3,96.46%
14,3,91.14%
15,3,85.89%
16,3,92.64%
17,3,94.47%
18,3,90.52%
19,3,96.03%
20,3,93.28%
21,3,88.75%
22,3,93.97%
23,3,94.71%
24,3,92.2%
25,3,96.39%
26,3,94.19%
27,3,91.01%
28,3,94.06%
29,3,94.8%
30,3,92.71%
31,3,95.98%
32,3,94.99%
33,3,92.67%
34,3,94.91%
35,3,95.33%
36,3,93.71%
37,3,96.21%
38,3,95.98%
39,3,93.02%
40,3,95.03%
41,3,95.73%
42,3,94.34%
43,3,96.49%
44,3,95.59%
45,3,93.59%
46,3,95.85%
47,3,95.64%
48,3,94.59%
49,3,96.58%
50,3,96.12%
51,3,94.31%
52,3,95.75%
53,3,95.91%
54,3,95.18%
55,3,96.8%
56,3,96.4%
57,3,94.74%
58,3,96.16%
59,3,96.51%
60,3,95.31%
61,3,96.89%
62,3,96.51%
63,3,95.37%
64,3,96.56%
65,3,96.42%
66,3,95.26%
67,3,97.27%
68,3,96.8%
69,3,95.12%
70,3,96.28%
71,3,96.4%
72,3,95.6%
73,3,97.2%
74,3,96.7%
75,3,95.56%
76,3,96.51%
77,3,96.93%
78,3,95.69%
79,3,97.31%
80,3,96.96%
81,3,95.42%
82,3,96.56%
83,3,96.92%
84,3,96.3%
85,3,97.07%
86,3,96.66%
87,3,96.24%
88,3,96.89%
89,3,96.88%
90,3,96.01%
91,3,97.51%
92,3,97.14%
93,3,95.61%
94,3,97.21%
95,3,97.15%
96,3,96.11%
97,3,97.17%
98,3,97.34%
99,3,96.43%
100,3,97.04%
2,4,25.42%
3,4,62.68%
4,4,76.84%
5,4,100.0%
6,4,74.74%
7,4,92.13%
8,4,85.2%
9,4,90.68%
10,4,90.25%
11,4,89.28%
12,4,86.32%
13,4,91.8%
14,4,91.09%
15,4,89.99%
16,4,90.0%
17,4,94.15%
18,4,91.73%
19,4,91.91%
20,4,91.63%
21,4,92.96%
22,4,92.8%
23,4,92.77%
24,4,92.5%
25,4,93.95%
26,4,93.62%
27,4,93.4%
28,4,92.58%
29,4,94.75%
30,4,94.5%
31,4,94.55%
32,4,93.86%
33,4,95.1%
34,4,94.43%
35,4,94.34%
36,4,94.04%
37,4,94.48%
38,4,94.81%
39,4,94.45%
40,4,94.21%
41,4,95.47%
42,4,95.33%
43,4,95.63%
44,4,94.81%
45,4,95.2%
46,4,95.29%
47,4,95.27%
48,4,94.99%
49,4,96.02%
50,4,95.85%
51,4,95.57%
52,4,94.91%
53,4,96.07%
54,4,95.68%
55,4,96.04%
56,4,95.61%
57,4,95.72%
58,4,95.78%
59,4,95.81%
60,4,95.76%
61,4,96.3%
62,4,96.15%
63,4,96.16%
64,4,95.74%
65,4,96.24%
66,4,96.1%
67,4,96.28%
68,4,96.08%
69,4,96.37%
70,4,96.47%
71,4,96.33%
72,4,96.35%
73,4,96.57%
74,4,96.77%
75,4,96.5%
76,4,96.07%
77,4,96.85%
78,4,96.53%
79,4,96.53%
80,4,96.43%
81,4,96.44%
82,4,96.72%
83,4,96.43%
84,4,96.65%
85,4,96.91%
