num_voters,num_alternatives,has_winner
2,2,93.51%
3,2,94.49%
4,2,95.24%
5,2,95.24%
6,2,96.02%
7,2,96.26%
8,2,96.73%
9,2,96.62%
10,2,96.89%
11,2,97.12%
12,2,97.15%
13,2,97.21%
14,2,97.15%
15,2,97.31%
16,2,97.7%
17,2,97.71%
18,2,97.8%
19,2,97.91%
20,2,97.89%
21,2,97.98%
22,2,98.04%
23,2,98.03%
24,2,97.96%
25,2,97.87%
26,2,98.13%
27,2,97.91%
28,2,98.24%
29,2,98.22%
30,2,98.2%
31,2,98.02%
32,2,98.42%
33,2,98.18%
34,2,98.34%
35,2,98.34%
36,2,98.48%
37,2,98.4%
38,2,98.5%
39,2,98.45%
40,2,98.3%
41,2,98.46%
42,2,98.59%
43,2,98.6%
44,2,98.54%
45,2,98.73%
46,2,98.62%
47,2,98.46%
48,2,98.51%
49,2,98.87%
50,2,98.67%
51,2,98.46%
52,2,98.57%
53,2,98.74%
54,2,98.6%
55,2,98.6%
56,2,98.63%
57,2,98.59%
58,2,98.89%
59,2,98.6%
60,2,98.52%
61,2,98.82%
62,2,98.9%
63,2,98.7%
64,2,98.81%
65,2,98.62%
66,2,98.63%
67,2,99.0%
68,2,98.84%
69,2,98.87%
70,2,98.75%
71,2,98.65%
72,2,98.85%
73,2,99.01%
74,2,98.91%
75,2,98.99%
76,2,98.91%
77,2,98.89%
78,2,98.93%
79,2,98.98%
80,2,99.06%
81,2,98.9%
82,2,98.84%
83,2,98.96%
84,2,98.8%
85,2,98.79%
86,2,98.9%
87,2,98.65%
88,2,98.94%
89,2,98.85%
90,2,99.07%
91,2,99.0%
92,2,98.97%
93,2,99.29%
94,2,99.06%
95,2,99.04%
96,2,98.92%
97,2,99.08%
98,2,99.22%
99,2,99.22%
100,2,98.93%
2,3,90.03%
3,3,91.95%
4,3,93.08%
5,3,93.56%
6,3,94.37%
7,3,94.95%
8,3,94.86%
9,3,95.08%
10,3,95.27%
11,3,95.93%
12,3,95.65%
13,3,96.22%
14,3,96.0%
15,3,96.13%
16,3,96.4%
17,3,96.52%
18,3,96.56%
19,3,96.42%
20,3,96.39%
21,3,96.78%
22,3,97.36%
23,3,96.65%
24,3,96.96%
25,3,96.89%
26,3,97.41%
27,3,97.32%
28,3,96.8%
29,3,97.27%
30,3,97.13%
31,3,97.71%
32,3,97.52%
33,3,97.31%
34,3,97.81%
35,3,97.59%
36,3,97.74%
37,3,97.63%
38,3,97.77%
39,3,97.47%
40,3,97.67%
41,3,97.82%
42,3,97.53%
43,3,97.58%
44,3,97.88%
45,3,97.73%
46,3,97.52%
47,3,97.79%
48,3,98.06%
49,3,98.18%
50,3,97.99%
51,3,97.92%
52,3,97.86%
53,3,98.26%
54,3,98.09%
55,3,97.88%
56,3,97.9%
57,3,98.08%
58,3,98.02%
59,3,98.08%
60,3,98.28%
61,3,98.16%
62,3,97.93%
63,3,97.85%
64,3,98.1%
65,3,98.18%
66,3,98.05%
67,3,98.28%
68,3,98.14%
69,3,98.23%
70,3,98.1%
71,3,98.31%
72,3,98.32%
73,3,98.15%
74,3,98.37%
75,3,98.37%
76,3,98.25%
77,3,98.34%
78,3,98.3%
79,3,98.49%
80,3,98.46%
81,3,98.54%
82,3,98.38%
83,3,98.27%
84,3,98.37%
85,3,98.36%
86,3,98.27%
87,3,98.61%
88,3,98.53%
89,3,98.53%
90,3,98.47%
91,3,98.35%
92,3,98.21%
93,3,98.32%
94,3,98.49%
95,3,98.38%
96,3,98.35%
97,3,98.61%
98,3,98.33%
99,3,98.55%
100,3,98.49%
2,4,87.92%
3,4,90.62%
4,4,90.93%
5,4,92.61%
6,4,92.92%
7,4,93.63%
8,4,94.17%
9,4,94.25%
10,4,94.69%
11,4,94.61%
12,4,95.09%
13,4,95.13%
14,4,95.09%
15,4,95.46%
16,4,95.62%
17,4,95.74%
18,4,95.82%
19,4,96.18%
20,4,95.88%
21,4,96.26%
22,4,96.29%
23,4,96.67%
24,4,96.26%
25,4,96.57%
26,4,96.56%
27,4,96.37%
28,4,96.44%
29,4,96.98%
30,4,96.67%
31,4,96.57%
32,4,96.84%
33,4,96.79%
34,4,96.96%
35,4,97.08%
36,4,96.97%
37,4,96.92%
38,4,96.89%
39,4,97.06%
40,4,97.04%
41,4,97.41%
42,4,97.32%
43,4,97.26%
44,4,97.33%
45,4,97.16%
46,4,97.26%
47,4,97.44%
48,4,97.39%
49,4,97.06%
50,4,97.6%
51,4,97.64%
52,4,97.41%
53,4,97.6%
54,4,97.78%
55,4,97.27%
56,4,97.73%
57,4,97.85%
58,4,97.51%
59,4,97.37%
60,4,98.09%
61,4,97.52%
62,4,97.64%
63,4,97.75%
64,4,97.85%
65,4,97.8%
66,4,97.56%
67,4,97.72%
68,4,97.65%
69,4,97.95%
70,4,97.92%
71,4,97.84%
72,4,97.8%
73,4,98.07%
74,4,97.98%
75,4,98.13%
76,4,97.99%
77,4,97.85%
78,4,97.94%
79,4,97.94%
80,4,98.14%
81,4,97.98%
82,4,97.97%
83,4,98.06%
84,4,97.91%
85,4,97.97%
86,4,98.0%
87,4,98.3%
88,4,98.06%
89,4,98.23%
90,4,98.24%
91,4,98.33%
92,4,98.24%
93,4,98.07%
94,4,97.96%
95,4,98.14%
96,4,98.1%
97,4,98.1%
98,4,98.24%
99,4,97.99%
100,4,98.39%
2,5,86.74%
3,5,89.31%
4,5,90.36%
5,5,91.37%
6,5,91.83%
7,5,92.46%
8,5,93.08%
9,5,93.89%
10,5,93.85%
11,5,94.1%
12,5,94.26%
13,5,93.85%
14,5,94.63%
15,5,94.94%
16,5,95.22%
17,5,95.43%
18,5,95.15%
19,5,95.1%
20,5,95.63%
21,5,95.89%
22,5,95.8%
23,5,96.02%
24,5,96.39%
25,5,96.03%
26,5,96.31%
27,5,96.27%
28,5,96.1%
29,5,96.24%
30,5,96.48%
31,5,96.37%
32,5,96.28%
33,5,96.07%
34,5,96.56%
35,5,96.55%
36,5,96.62%
37,5,96.58%
38,5,96.87%
39,5,96.71%
40,5,97.31%
41,5,96.96%
42,5,96.91%
43,5,97.15%
44,5,97.1%
45,5,97.23%
46,5,97.29%
47,5,97.14%
48,5,96.99%
49,5,97.25%
50,5,97.25%
51,5,97.14%
52,5,97.09%
53,5,97.29%
54,5,97.57%
55,5,97.28%
56,5,97.45%
57,5,97.39%
